country code,country,continent,indicator type,2016,2017,2018,2019,2020,2021,2022,region 1,difference,inflation_category
LCA,St. Lucia,North America,Inflation,-3.09,0.11,1.99,0.54,0.34,2.38,6.4,Caribbean,4.0200000000000005,Inflation
LKA,Sri Lanka,Asia,Inflation,3.97,6.58,2.14,4.3,6.15,7.01,50.43,Southern Asia,43.42,Inflation
LSO,Lesotho,Africa,Inflation,6.21,4.46,4.01,5.19,4.98,6.05,8.31,Southern Africa,2.2600000000000007,Inflation
LTU,Lithuania,Europe,Inflation,0.91,3.72,2.7,2.24,1.2,4.68,19.7,Northern Europe,15.02,Inflation
LUX,Luxembourg,Europe,Inflation,0.29,2.11,1.53,1.65,0.82,2.53,6.3,Western Europe,3.77,Inflation
LVA,Latvia,Europe,Inflation,0.14,2.89,2.53,2.75,0.22,3.28,17.3,Northern Europe,14.020000000000001,Inflation
MAC,"Macao SAR, China",Asia,Inflation,2.37,1.23,3.0,2.75,0.81,0.03,1.05,Eastern Asia,1.02,Inflation
MAR,Morocco,Africa,Inflation,1.65,0.75,1.79,0.24,0.71,1.4,6.66,Northern Africa,5.26,Inflation
MDA,Moldova,Europe,Inflation,6.38,6.58,3.05,4.85,3.77,5.11,28.74,Eastern Europe,23.63,Inflation
MDA,"Moldova, Rep.",Europe,Inflation,4.5,3.34,0.37,1.84,2.59,8.66,19.64,Eastern Europe,10.98,Inflation
MDG,Madagascar,Africa,Inflation,6.66,8.28,7.29,5.62,4.2,5.82,9.8,Eastern Africa,3.9800000000000004,Inflation
MDV,Maldives,Asia,Inflation,0.8,2.27,1.37,1.31,-1.37,0.54,2.18,Southern Asia,1.6400000000000001,Inflation
MEX,Mexico,North America,Inflation,2.82,6.04,4.9,3.63,3.4,5.69,7.9,Central America,2.21,Inflation
MHL,Marshall Islands,Oceania,Inflation,-1.51,0.03,0.76,1.2,0.61,2.61,6.4,Micronesia,3.7900000000000005,Inflation
MKD,"Macedonia, FYR",Europe,Inflation,-0.23,1.35,1.46,0.77,1.2,3.23,14.2,Southern Europe,10.969999999999999,Inflation
MKD,North Macedonia,Europe,Inflation,1.4,2.33,1.53,0.5,0.9,2.35,6.63,Southern Europe,4.279999999999999,Inflation
MLI,Mali,Africa,Inflation,-1.8,1.76,1.73,-2.89,0.44,3.93,9.99,Western Africa,6.0600000000000005,Inflation
MLT,Malta,Europe,Inflation,0.64,1.26,1.16,1.52,0.64,1.5,6.15,Southern Europe,4.65,Inflation
MMR,Myanmar,Asia,Inflation,6.76,4.62,6.0,8.63,6.11,5.03,16.75,South-eastern Asia,11.719999999999999,Inflation
MNE,Montenegro,Europe,Inflation,-0.27,2.37,2.6,0.37,-0.26,2.41,13.05,Southern Europe,10.64,Inflation
MNG,Mongolia,Asia,Inflation,0.72,4.62,6.83,7.26,3.69,7.1,15.15,Eastern Asia,8.05,Inflation
MOZ,Mozambique,Africa,Inflation,17.45,15.11,3.92,2.79,3.63,5.69,10.28,Eastern Africa,4.589999999999999,Inflation
